Team,Player,GP,MIN,PTS,P2M,P2A,P2p,P3M,P3A,P3p,FTM,FTA,FTp,OREB,DREB,AST,TOV,STL,BLK,PF,PM
Germani Brescia,Darral Willis,13,237,135,48,106,45.28302,6,20,30.00000,21,27,77.77778,19,51,13,27,7,9,33,-72
Germani Brescia,David Moss,28,667,185,39,86,45.34884,27,63,42.85714,26,33,78.78788,20,65,59,42,18,4,81,2
Germani Brescia,Dusan Ristic,15,285,164,68,116,58.62069,1,4,25.00000,25,27,92.59259,28,62,12,11,5,8,29,-50
Germani Brescia,Giordano Bortolani,26,308,161,29,55,52.72727,26,59,44.06780,25,28,89.28571,8,24,12,17,5,3,29,-35
Germani Brescia,Jeremiah Wilson,12,129,45,10,26,38.46154,6,14,42.85714,7,8,87.50000,16,18,4,14,5,2,17,-44
Germani Brescia,Kenny Chery,28,674,309,67,143,46.85315,42,115,36.52174,49,52,94.23077,19,47,87,48,33,1,52,-50
Germani Brescia,Luca Vitali,24,516,146,39,69,56.52174,16,60,26.66667,20,22,90.90909,6,33,117,46,16,1,53,-83
Germani Brescia,Salvatore Parrillo,16,117,19,0,3,0.00000,6,20,30.00000,1,2,50.00000,2,6,6,4,4,0,18,-41
Germani Brescia,T.J. Cline,12,268,145,51,88,57.95455,8,31,25.80645,19,26,73.07692,7,47,30,20,8,3,22,-2
Germani Brescia,Tommaso Vecchiola,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Germani Brescia,Tyler Kalinoski,25,609,263,35,90,38.88889,57,131,43.51145,22,28,78.57143,14,52,82,32,34,1,81,-5
Happy Casa Brindisi,Alessandro Guido,7,10,0,0,3,0.00000,0,2,0.00000,0,2,0.00000,0,0,0,2,1,0,1,-17
Happy Casa Brindisi,Alessandro Zanelli,31,515,127,11,29,37.93103,25,70,35.71429,30,30,100.00000,7,61,56,24,15,1,37,30
Happy Casa Brindisi,D'Angelo Harrison,25,703,422,65,135,48.14815,51,152,33.55263,139,156,89.10256,12,84,93,59,31,2,72,112
Happy Casa Brindisi,Darius Thompson,31,891,393,122,206,59.22330,33,108,30.55556,50,68,73.52941,21,70,169,51,53,22,65,206
Happy Casa Brindisi,Derek Willis,31,878,341,83,141,58.86525,34,98,34.69388,73,90,81.11111,57,201,51,36,28,20,45,129
Happy Casa Brindisi,Felipe Motta,2,3,4,2,2,100.00000,0,0,,0,0,,1,0,0,2,0,0,0,-1
Happy Casa Brindisi,Gianmaria Danese,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Happy Casa Brindisi,James Bell,31,724,249,38,86,44.18605,47,160,29.37500,32,38,84.21053,17,92,51,36,19,9,82,108
Happy Casa Brindisi,Joshua Bostic,17,419,219,29,60,48.33333,37,99,37.37374,50,59,84.74576,2,44,39,27,14,1,47,142
Happy Casa Brindisi,Marco Vitucci,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Happy Casa Brindisi,Mattia Udom,30,467,163,42,73,57.53425,19,53,35.84906,22,38,57.89474,44,84,23,29,17,2,50,106
Happy Casa Brindisi,Nick Perkins,31,758,412,160,287,55.74913,7,23,30.43478,71,121,58.67769,67,110,16,55,12,9,70,130
Happy Casa Brindisi,Ousman Krubally,27,458,166,58,93,62.36559,0,2,0.00000,50,77,64.93506,41,79,19,27,15,6,51,72
Happy Casa Brindisi,Raphael Gaspardo,32,674,255,68,127,53.54331,27,81,33.33333,38,55,69.09091,43,44,18,34,16,13,65,81
Happy Casa Brindisi,Riccardo Cattapan,7,10,0,0,4,0.00000,0,0,,0,0,,0,4,0,0,0,1,1,-13
Happy Casa Brindisi,Riccardo Visconti,30,290,109,20,33,60.60606,17,65,26.15385,18,28,64.28571,7,20,13,15,9,1,37,8
Happy Casa Brindisi,Stefano Manfredi,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Openjobmetis Varese,Alessandro Van Velsen,1,1,0,0,0,,0,1,0.00000,0,0,,0,0,0,0,0,0,0,0
Openjobmetis Varese,Anthony Beane,16,391,182,45,81,55.55556,25,75,33.33333,17,21,80.95238,10,18,39,26,16,2,29,-26
Openjobmetis Varese,Anthony Morse,26,339,114,43,86,50.00000,0,0,,28,49,57.14286,41,48,4,15,4,8,56,-37
Openjobmetis Varese,Arturs Strautins,28,747,296,41,95,43.15789,43,114,37.71930,85,99,85.85859,42,132,21,45,13,1,54,-143
Openjobmetis Varese,Denzel Andersson,10,159,30,7,9,77.77778,4,20,20.00000,4,5,80.00000,6,19,4,7,5,5,15,-31
Openjobmetis Varese,Giancarlo Ferrero,22,263,68,5,19,26.31579,16,48,33.33333,10,16,62.50000,14,14,7,3,4,0,36,-53
Openjobmetis Varese,Giovanni De Nicolao,26,349,121,37,75,49.33333,11,34,32.35294,14,18,77.77778,12,35,40,32,14,1,59,-50
Openjobmetis Varese,Ingus Jakovics,17,331,128,15,30,50.00000,22,72,30.55556,32,37,86.48649,5,18,13,18,6,0,41,-80
Openjobmetis Varese,John Egbunu,12,277,101,41,77,53.24675,0,0,,19,38,50.00000,25,66,0,18,3,18,24,6
Openjobmetis Varese,Luis Scola,28,828,499,113,213,53.05164,59,138,42.75362,96,134,71.64179,37,150,31,61,22,10,67,-131
Openjobmetis Varese,Matteo Librizzi,1,14,0,0,1,0.00000,0,1,0.00000,0,0,,0,1,1,0,0,0,2,-24
Openjobmetis Varese,Michele Ruzzier,28,786,248,61,103,59.22330,27,93,29.03226,45,56,80.35714,17,45,139,63,25,4,78,-87
Openjobmetis Varese,Niccolò De Vico,18,366,99,9,22,40.90909,20,61,32.78689,21,26,80.76923,23,45,14,7,11,0,43,-77
